,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Variance Grad,0.27854257822036743,0.2804870307445526,0.28326183557510376,0.2860155701637268,0.2883738875389099,0.2905901074409485,0.2919370234012604,0.29298919439315796,0.2939695715904236,0.29444819688796997,0.29493027925491333,0.2951340079307556,0.2952141761779785,0.29510241746902466,0.294916570186615
Accuracy,0.1373,0.1782,0.2022,0.2227,0.2456,0.2693,0.2908,0.3045,0.3123,0.3175,0.324,0.3308,0.3354,0.3377,0.343
F1 Score,0.09262659063540903,0.13800980411546374,0.16494817473452578,0.18833639439665256,0.21970842820057807,0.25139465131315847,0.27530313375746146,0.28827304611661,0.294382003284608,0.2972116405234522,0.3033267603982714,0.3097414852074886,0.31425085369770855,0.3173634880968736,0.3231869949798573
