,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Variance Grad,4.891446113586426,4.753964424133301,4.7280731201171875,4.828805446624756,4.98419189453125,5.084107875823975,5.186377048492432,5.239405155181885,5.298982620239258,5.333833694458008,5.372403144836426,5.423709869384766,5.463087558746338,5.449491024017334,5.41202974319458
Accuracy,0.2286,0.2572,0.2702,0.2827,0.2874,0.2972,0.3044,0.3078,0.3084,0.3105,0.3129,0.3097,0.3084,0.3093,0.3083
F1 Score,0.17979685607955087,0.21139558640843106,0.23352439468032374,0.24961355754608455,0.255196332011966,0.2696369152755448,0.27895391024406874,0.28510300743254685,0.2870792482428882,0.2889307545105969,0.29149075641299416,0.2856458371205055,0.28107983610005316,0.2804709903532828,0.2771513189958783
