,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Variance Grad,0.5950477123260498,0.5845672488212585,0.576335072517395,0.5697993040084839,0.5639313459396362,0.5582250356674194,0.5528579950332642,0.5480891466140747,0.5433345437049866,0.539143443107605,0.5349094271659851,0.5309988260269165,0.5275285243988037,0.5236038565635681,0.5199477076530457
Accuracy,0.1924,0.2474,0.2723,0.2958,0.3113,0.3209,0.327,0.3369,0.3465,0.3533,0.3624,0.3713,0.3828,0.3915,0.3991
F1 Score,0.16380973416817085,0.2191734226302447,0.23559460840249252,0.2560350319021215,0.26895477303911586,0.27492898493588797,0.28035286075011345,0.2906664265218023,0.3010392034372674,0.3098025398363168,0.3198839701318388,0.3307673651031341,0.34359079163635464,0.35275244337629064,0.3612850231309462
