,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Distillation Loss,0.00546232436071424,0.005655784122645855,0.004957266956129494,0.005196452004944577,0.005201741167727638,0.005232529530630392,0.005145304426550865,0.005129492751815739,0.004933333011234507,0.005075201495167087,0.004935118347844656,0.004819161738542949,0.00452560995650642,0.004987281782223897,0.0048898348058847825
Average Cosine Similarity (Pairwise Grad),0.05689614117145538,0.03450515922158957,0.005797656666901376,-0.01944942379163371,-0.012370345886382791,-0.028479181002411577,-0.009229769930243492,-0.042826838149792615,-0.02048654771513409,-0.046426260305775534,-0.05550071647804644,-0.04962866769896613,-0.0710689598073562,-0.06465637476907836,-0.045949418490959536
Average Cosine Similarity (Global Grad),0.06651946287602187,0.05647800844162702,0.052662904094904664,0.033618084900081155,0.03537885285913944,0.021673847595229744,0.02945229150354862,0.01886921809054911,0.02397877862676978,0.02468791399151087,0.02103129937313497,0.025768187828361988,0.01237581695895642,0.008594231074675917,0.017223424604162575
Variance Grad,4.662447929382324,4.992547988891602,3.760514497756958,3.802318572998047,4.0149922370910645,3.3929896354675293,3.667311906814575,3.088670015335083,3.3991947174072266,3.5828933715820312,3.3921902179718018,3.503541946411133,3.0185961723327637,3.245304822921753,3.4028029441833496
Accuracy,0.2463,0.5382,0.545,0.5175,0.5983,0.5761,0.6264,0.5775,0.6221,0.6458,0.6533,0.7095,0.6874,0.6755,0.7028
F1 Score,0.1538682340469679,0.4951141606670298,0.48766877897791067,0.4935763173038465,0.5814448682414723,0.5621153198568367,0.612804457182742,0.5504118320348472,0.5939626374192789,0.6140834747212819,0.6262710449838529,0.6779494176092817,0.6532855737082022,0.650537858378532,0.6917016101657685
