Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09854881,0.09891232,0.09771337,0.10113525,0.098214515,0.100383036,0.10437258,0.09885659,0.10177141,0.100092195
1,0.09837083,0.098329805,0.09722294,0.100727476,0.09774845,0.09999408,0.106826864,0.09844728,0.102400064,0.099932194
2,0.098520495,0.09824171,0.09727248,0.10077727,0.09792536,0.10017065,0.10636035,0.09886731,0.10211702,0.09974737
3,0.09864136,0.098830536,0.09750569,0.10054469,0.0982336,0.10073274,0.10433538,0.098826915,0.10248808,0.099861
4,0.099085614,0.09861174,0.097384654,0.10120447,0.0984109,0.10117232,0.10363491,0.09933572,0.10180431,0.09935539
5,0.09856381,0.097894296,0.09694859,0.10165291,0.097973816,0.10118593,0.10342242,0.09994978,0.10281762,0.09959085
6,0.099056624,0.09820218,0.09728163,0.101935185,0.09858145,0.1004426,0.10437107,0.09954133,0.10135652,0.0992314
7,0.09942291,0.10057894,0.09819921,0.10099318,0.09938183,0.10000183,0.103020824,0.09856536,0.10086355,0.0989724
8,0.098335534,0.09900995,0.09727685,0.09999082,0.09856679,0.10030307,0.10473293,0.09837691,0.101986066,0.101421095
9,0.10085658,0.09960996,0.097749315,0.101858355,0.098866686,0.09963242,0.10266032,0.09877857,0.101086,0.0989018
10,0.098951384,0.09857204,0.09698687,0.10053805,0.09787444,0.100010574,0.10193632,0.09875454,0.10659663,0.09977916
11,0.09820377,0.09829784,0.097140014,0.10009847,0.09781685,0.09882243,0.111590646,0.09774597,0.10056855,0.099715464
12,0.09985378,0.10030651,0.09824472,0.10070155,0.09942792,0.099372506,0.1046073,0.098109625,0.10046863,0.098907515
13,0.09837379,0.09888782,0.09729506,0.10041543,0.09855577,0.103344254,0.10230619,0.09921247,0.101786315,0.09982284
14,0.09968853,0.09922966,0.09765505,0.10249398,0.098919116,0.10095537,0.10258426,0.09914102,0.10053592,0.09879714
