,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Distillation Loss,0.00517793915946694,0.0055244650735574614,0.0051950368767275535,0.00521020313615308,0.005092796540873892,0.0055613668504006725,0.005113578009254792,0.005228928586139399,0.0051517168432474135,0.005009404780233607,0.004983374908128206,0.004834959732697291,0.005053637040888561,0.004831939727506216,0.004819982799098773
Average Cosine Similarity (Pairwise Grad),0.04322781790461805,0.07434413491023911,0.008644908625218604,0.011425692422522438,-0.04142612498253584,-0.03833384998142719,-0.015272730713089306,-0.046237807989948324,-0.05321371464265717,-0.04489090914527575,-0.047669012078808415,-0.02430621518029107,-0.06710637049335573,-0.04388097760577996,-0.06857223608013656
Average Cosine Similarity (Global Grad),0.06377692893147469,0.06004671789705753,0.04431503927335143,0.047738360892981294,0.026610312866978347,0.019789055490400644,0.03186007514595986,0.023749161139130594,0.02232678746804595,0.017458926886320114,0.012873673159629107,0.030142543162219225,0.007929007610073313,0.02353828933555633,0.01092363711213693
Variance Grad,4.296319007873535,4.828939914703369,4.326717853546143,4.078627586364746,3.706291913986206,3.7693142890930176,3.5230584144592285,3.612999439239502,3.707481861114502,3.62870454788208,2.873011827468872,3.2245049476623535,3.2763161659240723,3.43281626701355,3.2486934661865234
Accuracy,0.2271,0.4865,0.4188,0.6101,0.5954,0.5697,0.6036,0.6317,0.6366,0.65,0.5971,0.6762,0.6514,0.7088,0.6965
F1 Score,0.11907753480631429,0.4188253397787488,0.38547541923469286,0.5773321235962733,0.5653867153421441,0.5596433457910311,0.5842182983944829,0.6014278046756111,0.6080338062882196,0.6336299102613528,0.5756638584875959,0.6500856146406717,0.6342567446891738,0.683630674765377,0.6708647353649029
