,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Distillation Loss,0.005614106173024458,0.004826230685062268,0.005723990482442519,0.005103076656951624,0.004942338199299924,0.00502822386648725,0.005256700566148056,0.0048016382227925695,0.004873514946769265,0.005513490179882331,0.004859577588298742,0.004509545343325418,0.0050519165681565505,0.004692015393691904,0.004612156222848331
Average Cosine Similarity (Pairwise Grad),0.02534988456302219,0.03762379681898488,0.021999728058775266,-0.005057403031322691,-0.010794075826803843,-0.01845116246905592,-0.005254190208183395,-0.05248442569540607,-0.05651852807237042,-0.050198129957748784,-0.025425862934854295,-0.04473563407858213,-0.033676282895935904,-0.05456058792769909,-0.05338633077012168
Average Cosine Similarity (Global Grad),0.06280730254948139,0.04050717242062092,0.04779774099588394,0.04113421738147736,0.02962428517639637,0.025347505509853364,0.0387607729062438,0.024366289656609297,0.019799751229584217,0.015430848102550954,0.021548292599618435,0.0034621777245774864,0.025625011790543793,0.017271328903734683,0.007962053013034164
Variance Grad,4.635115623474121,3.817819118499756,4.648911476135254,3.9979424476623535,3.4617600440979004,3.175703287124634,3.858762264251709,3.2410216331481934,3.196866512298584,3.457857131958008,3.2130203247070312,2.7750957012176514,3.241218090057373,3.0346388816833496,2.6982460021972656
Accuracy,0.2373,0.2964,0.4848,0.495,0.5119,0.486,0.6487,0.6419,0.637,0.6317,0.6283,0.6047,0.6599,0.6449,0.6344
F1 Score,0.1376799702104538,0.2170618142336745,0.4345494490635482,0.45896893247638026,0.4718944707719361,0.43933811195641426,0.6142412363963059,0.6023333328017711,0.6085239639515642,0.6300862275109281,0.6073400792045021,0.5779437669847798,0.6271557298487721,0.6141604860699579,0.6042732643227243
