,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Distillation Loss,0.006509877193500014,0.006834616358665859,0.006539760267033297,0.00689005781622494,0.007025392769890673,0.006748381278970662,0.006941121312625268,0.006891235928325092,0.007344196035581476,0.006985171424115405,0.006537579810794662,0.006990295780055663,0.006773285808808664,0.006711621494854198,0.0069792946471887475
Average Cosine Similarity (Pairwise Grad),0.030593781131837104,0.033817578479647635,-0.003601372345454163,-0.011309630361696084,-0.05152976264556249,-0.0477842654618952,-0.06004801317014628,-0.060841713514592916,-0.0590459489574035,-0.031107363738637005,-0.07431411209205786,-0.030954865366220476,-0.06734896724422773,-0.04125190139230755,-0.07964646704494953
Average Cosine Similarity (Global Grad),0.08846225906163455,0.06629321952350438,0.06153976321220398,0.0678438140777871,0.024285269249230624,0.045756111526861785,0.029287107475101947,0.031215386628173292,0.012823248375207185,0.05335896098986268,0.009403035417199135,0.03858717824332416,0.015929237380623816,0.04203968732617795,0.013508241064846516
Variance Grad,2.547184467315674,2.472473621368408,2.2971277236938477,1.931316614151001,2.1110711097717285,1.9329277276992798,1.9432640075683594,1.75441575050354,2.0649144649505615,1.7182948589324951,2.070695400238037,1.8846395015716553,1.9853565692901611,1.7792556285858154,1.863439917564392
Accuracy,0.2028,0.3208,0.2797,0.3782,0.3578,0.4003,0.3986,0.3825,0.4071,0.4829,0.371,0.4578,0.4132,0.4776,0.4642
F1 Score,0.09739618479595433,0.2553078322502117,0.21681940808634984,0.3224661567239183,0.29852676905893094,0.35400949073373833,0.3600306799557151,0.32252316254206015,0.37542000209120197,0.4556707315367161,0.3187356330331596,0.419787598116607,0.36750477243209784,0.4399948385636481,0.42898947878296767
