,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Variance Grad,7.11820125579834,6.6797895431518555,6.839005947113037,7.471716403961182,6.771968841552734,6.903069496154785,6.401976585388184,5.669188499450684,6.364318370819092,7.563218593597412,6.723973751068115,5.846750736236572,6.574000358581543,6.9180803298950195,7.010263919830322
Accuracy,0.2326,0.2809,0.3941,0.5305,0.4626,0.4278,0.5019,0.4282,0.4401,0.5099,0.43,0.4396,0.5494,0.5908,0.5263
F1 Score,0.15251686599785172,0.1857602901696866,0.31689605336061694,0.45249037780053614,0.3978949523285371,0.3845444712145011,0.4567203932305925,0.3704470316206728,0.3958910920631516,0.4502492898799736,0.3782174016164753,0.3903692872231515,0.5135495230462919,0.5093554192847151,0.46561624012063385
