Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.09855464,0.09887432,0.097610265,0.10074699,0.09836035,0.10048794,0.105347,0.09862448,0.101518,0.09987605
1,0.098486155,0.09857934,0.0974515,0.10065842,0.09813491,0.10024977,0.106275454,0.09891883,0.10122182,0.100023806
2,0.098936014,0.099306695,0.097636156,0.100847624,0.098338395,0.10004592,0.10424286,0.098766364,0.102173865,0.09970613
3,0.09880744,0.09870156,0.09729187,0.10056237,0.0983412,0.09967289,0.10549448,0.098876074,0.102716625,0.09953552
4,0.098606184,0.09918948,0.097408414,0.10048937,0.09845432,0.10067946,0.10413907,0.0987267,0.102566324,0.09974071
5,0.09975396,0.0989831,0.09738733,0.1007638,0.09848856,0.100300185,0.10411399,0.09894464,0.10195488,0.09930957
6,0.099007174,0.09858141,0.097094014,0.10037985,0.09835993,0.10057962,0.10390631,0.099356756,0.103106536,0.099628404
7,0.098440684,0.09818568,0.09683093,0.10020788,0.09794336,0.10051997,0.104799606,0.09893619,0.103113405,0.101022325
8,0.09930015,0.09856475,0.09721492,0.10143846,0.09840863,0.100598074,0.103950016,0.09936804,0.10171387,0.09944306
9,0.09967019,0.09905743,0.09754177,0.10153561,0.09861206,0.10001017,0.10451261,0.09883092,0.101216316,0.09901293
10,0.098444685,0.098497845,0.09719681,0.100399934,0.09809669,0.099123456,0.10977286,0.09810008,0.100762144,0.099605545
11,0.099715166,0.10018673,0.09795417,0.10073813,0.09897887,0.10015439,0.10397356,0.09843179,0.10093012,0.098937094
12,0.09880025,0.09904407,0.09713685,0.10037432,0.098048426,0.09992573,0.10272769,0.0986465,0.10557481,0.09972135
13,0.09942458,0.09960809,0.09771638,0.10082366,0.09937465,0.099635445,0.10421449,0.09868796,0.1014848,0.099029936
14,0.09842427,0.099227026,0.097245485,0.1005229,0.09862391,0.10217575,0.10258227,0.098994635,0.102436356,0.0997674
