,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Distillation Loss,0.005634208520983948,0.005408666795667479,0.005485676761497469,0.005162064961212524,0.00510126116740353,0.004957954622805119,0.005338790471501211,0.004957056402721826,0.005312271836925956,0.004877409266636652,0.005321303465787102,0.005434178948840675,0.0051651447836090535,0.004988230927025571,0.004862825931871638
Average Cosine Similarity (Pairwise Grad),0.061588056633869806,0.035388816851708624,0.026371626266174845,-0.026237305543488926,-0.01541115925129917,-0.046534610477586585,-0.022068101954129008,-0.042946416719092266,-0.023400560828546683,-0.034526618031991856,-0.024967629379696318,-0.05476027042087581,-0.02657481481631597,-0.06630560515655412,-0.03718772087660101
Average Cosine Similarity (Global Grad),0.07454035431146622,0.047159574925899506,0.05008855713531375,0.03185837847413495,0.04021456486079842,0.0143773527815938,0.030473889969289302,0.009502110257744788,0.024614411965012552,0.01035359427332878,0.025618760497309268,0.01215042406693101,0.028682882990688087,0.003514758078381419,0.02624706265050918
Variance Grad,4.625004291534424,4.429072856903076,4.450836658477783,3.756868362426758,3.766308546066284,3.2096848487854004,3.8750863075256348,2.865267276763916,3.485245943069458,2.96246600151062,3.3761706352233887,3.341487407684326,3.6279499530792236,2.9422688484191895,3.087677240371704
Accuracy,0.3626,0.394,0.5647,0.4957,0.5962,0.5351,0.6124,0.5576,0.5967,0.5793,0.6328,0.6085,0.7077,0.6379,0.6885
F1 Score,0.2820627673607782,0.3475584002814026,0.545036458935892,0.475457311084158,0.5606365379239391,0.518049295898097,0.5960802438849924,0.5427166302953069,0.5714717682183839,0.5515654237180099,0.6030782232237007,0.5910974536652382,0.6938447187628082,0.6201304392441107,0.6572526907496611
