,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Distillation Loss,0.006498370214420206,0.006024598560350783,0.00577597516862785,0.005803768005879486,0.005641858619363869,0.005537858254769269,0.005786754865856732,0.005463510773637716,0.00581096141215633,0.005416011878234499,0.005031303290058586,0.005262749843737658,0.0054962871661957576,0.005324098040514132,0.005189669789636836
Average Cosine Similarity (Pairwise Grad),0.06821142497162024,0.035131749531461136,0.004626327214969529,0.010082718171179294,-0.013228904259287648,-0.025988276954740284,-0.00916650231099791,-0.04510260977678829,-0.04141681181887786,-0.017880476141969363,-0.06189031395543781,-0.062013725481099555,-0.06208562244557672,-0.03872263332207997,-0.04865152744783296
Average Cosine Similarity (Global Grad),0.0634083711542189,0.046167504694312814,0.027977383602410553,0.030956667754799126,0.021862085070461036,0.01793278958648443,0.027751617465401068,0.016203596815466882,0.011997927445918322,0.02395032688509673,0.011605481267906725,0.014460423937998712,0.004259762418223545,0.01119112449232489,0.008795805106637999
Variance Grad,5.8892059326171875,5.637089729309082,4.980081558227539,5.084392547607422,5.211413383483887,4.140747547149658,5.180037498474121,4.86659049987793,4.608267784118652,5.040736675262451,4.313299655914307,4.489855766296387,4.30823278427124,4.541555881500244,4.601607322692871
Accuracy,0.4066,0.4675,0.4341,0.511,0.573,0.5299,0.6209,0.6148,0.5973,0.7052,0.6712,0.6939,0.6569,0.6627,0.6844
F1 Score,0.3150524758791515,0.43793753334458263,0.39895335047259484,0.46889622168167067,0.536103376007735,0.4899709051787279,0.5890882238439245,0.5832123072550008,0.5834265111656911,0.6916381965066922,0.6384761282894328,0.6673960018718541,0.6311976751347437,0.6304172393674384,0.6651234712433564
