,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Variance Grad,5.6778154373168945,6.080082893371582,5.387357234954834,5.8916096687316895,5.160656929016113,4.813601493835449,4.9405107498168945,4.539612293243408,3.961423397064209,4.581564903259277,4.533374309539795,4.677020072937012,4.407419681549072,4.539948463439941,4.576353073120117
Accuracy,0.221,0.423,0.4279,0.5146,0.627,0.6346,0.6751,0.6333,0.6094,0.6857,0.6773,0.6753,0.6568,0.6673,0.7116
F1 Score,0.12336455011107775,0.3494947034223489,0.3939146160806777,0.46498770603815665,0.5989214199526771,0.6087782037814533,0.6654562596726783,0.624950820471615,0.583071486807323,0.6556860011797531,0.6541586149656909,0.6464231535740425,0.6498729816853787,0.6426667352438054,0.6878936257786965
