,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Variance Grad,4.781181812286377,4.509108066558838,4.3875017166137695,4.158773422241211,3.4591121673583984,3.882270336151123,3.8477942943573,4.077798843383789,3.7883689403533936,3.9963912963867188,3.413970470428467,3.3787620067596436,3.8124091625213623,3.6286511421203613,3.040071725845337
Accuracy,0.4362,0.4971,0.5196,0.6316,0.5592,0.6019,0.5924,0.6458,0.6628,0.6515,0.6727,0.6793,0.6815,0.7286,0.6827
F1 Score,0.33561386269394244,0.46338810363142624,0.49915378460804494,0.6166520199451515,0.5405580240250025,0.5689172696072269,0.5716456411762504,0.6342070059371065,0.6540303172040318,0.6352193628458015,0.6453276235399773,0.6577635231636642,0.6797484792730002,0.7174836105492849,0.6668504081238548
