,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Average Cosine Similarity (Pairwise Grad),0.0313746598859628,-0.017301045399573115,-0.04414496140347587,-0.057714192900392744,-0.06626854969395532,-0.07100001416272587,-0.07457801443007257,-0.07646304650439156,-0.07790981448358959,-0.07922965188821157,-0.0808786859942807,-0.08200016361143854,-0.08250809643003676,-0.08365400921967295,-0.08458325523469183
Average Cosine Similarity (Global Grad),0.028600609954446556,0.011185368103906513,0.0031618519104085864,0.0015879750601015985,-0.002167256735265255,-0.005185852060094476,-0.004943753988482058,-0.005658646114170551,-0.006345703778788447,-0.00690584871917963,-0.007231439277529716,-0.007699341187253595,-0.007350730104371905,-0.00830459464341402,-0.009293628949671983
Variance Grad,3.5795273780822754,2.967254161834717,2.931867837905884,2.5975863933563232,2.8404593467712402,2.945847511291504,2.6457087993621826,2.6534786224365234,2.5812408924102783,2.897242307662964,2.719963788986206,2.6083881855010986,2.6710238456726074,2.6027939319610596,3.207408905029297
Accuracy,0.2348,0.2655,0.2878,0.2969,0.2994,0.3065,0.3104,0.3125,0.3171,0.3211,0.3212,0.3255,0.3294,0.3302,0.3332
F1 Score,0.1852567235620503,0.23601099943750609,0.2669736101685455,0.2773569855764953,0.2823425256891131,0.2907668955902654,0.2961459346834106,0.3004822439428421,0.3050035013184225,0.30840456561882656,0.3087743835966742,0.31391179067829483,0.31771786373254873,0.3182369294718429,0.3211268704618338
