,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Average Cosine Similarity (Pairwise Grad),0.01946346347944604,-0.028134089894592762,-0.05080665805273586,-0.06160924674736129,-0.06817052212233345,-0.07269693569590648,-0.07614554948069983,-0.07845280634032356,-0.07973881463209788,-0.08149915838407146,-0.08229716747171349,-0.08362264848417705,-0.08439911059621308,-0.08504628448022736,-0.08565521159519753
Average Cosine Similarity (Global Grad),0.005359469424001872,-0.00048391804739367217,-0.0034958394011482597,-0.004459694726392627,-0.006082021654583514,-0.0061584577197209,-0.007769086956977844,-0.007893794169649481,-0.008248536195605994,-0.008635274274274707,-0.008995445910841227,-0.009591337712481617,-0.008759701019152999,-0.009761763317510486,-0.009244373347610236
Variance Grad,3.364279270172119,3.0326743125915527,2.8013863563537598,2.613194465637207,2.605318307876587,2.7656781673431396,2.4517738819122314,2.4747796058654785,2.8776724338531494,2.7235589027404785,2.310753107070923,2.744971752166748,2.744891881942749,2.0699410438537598,2.741079807281494
Accuracy,0.131,0.1772,0.1988,0.2129,0.2219,0.22,0.2267,0.2264,0.2295,0.2321,0.236,0.2363,0.2355,0.2364,0.241
F1 Score,0.09938627036894551,0.1462711283099725,0.16838038175589767,0.1843546700622642,0.19531590481413352,0.19557792999683973,0.2025768938581809,0.20348121479442596,0.2060893018481133,0.209668992869762,0.21340088418566694,0.21347037178577657,0.21532583405631417,0.21705721188500054,0.2225624947110459
