,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Average Cosine Similarity (Pairwise Grad),0.029388762844933403,-0.01923182639810774,-0.04657661865154902,-0.05902746677812603,-0.06667060293257236,-0.07065416595174207,-0.07382655317584673,-0.07626290611094899,-0.07802742976281378,-0.07918113780518372,-0.08039713336361778,-0.08113502164681753,-0.08207252903117074,-0.08323941305279732,-0.08371325615379545
Average Cosine Similarity (Global Grad),0.027443012781441213,0.01053073457442224,0.0020271375309675933,-4.3576536700129506e-05,-0.002888365788385272,-0.004160918272100389,-0.005586945544928312,-0.006167047703638673,-0.006330930162221193,-0.007134153274819255,-0.007440935540944338,-0.007495598401874304,-0.007494807802140712,-0.008459614962339402,-0.008242723625153303
Variance Grad,3.802938461303711,3.0543839931488037,3.053542137145996,2.9193482398986816,2.9607226848602295,3.114485502243042,3.35477876663208,3.132585287094116,2.9845993518829346,3.162656545639038,2.8111770153045654,2.8348793983459473,2.7676310539245605,2.7866740226745605,2.9334945678710938
Accuracy,0.2239,0.2554,0.2722,0.2818,0.2881,0.2952,0.3033,0.3084,0.3085,0.3182,0.3214,0.3241,0.3257,0.3272,0.331
F1 Score,0.19573509531809832,0.22731030938413235,0.2464127198495408,0.25948706545707917,0.26670475414550976,0.275522411002054,0.2835946225719652,0.28958920385440484,0.2894831687903553,0.2992856630917164,0.30348493362017626,0.3058224775443866,0.3085099684085227,0.3100704415466348,0.31518730838261677
