,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Variance Grad,4.013022422790527,3.0456254482269287,3.0097527503967285,2.866934299468994,3.012913227081299,2.846872091293335,2.8169548511505127,2.918131113052368,2.954092502593994,3.2291526794433594,2.90213680267334,3.1148393154144287,2.71832275390625,2.896066188812256,3.262071132659912
Accuracy,0.2434,0.2655,0.2812,0.2905,0.2996,0.3066,0.3122,0.3201,0.3252,0.3249,0.3284,0.3326,0.3346,0.337,0.3381
F1 Score,0.19937137343330405,0.2395893766350933,0.2606461596352389,0.27166237654179326,0.2801547261093579,0.2879410487671024,0.2959018272666922,0.3040181861700658,0.3090441935925998,0.30997130963910513,0.31354862776978476,0.31769859684244883,0.32013689595997946,0.3231537832202269,0.3237476724438429
