,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Variance Grad,3.429687976837158,2.956057071685791,3.045502185821533,2.911677837371826,2.933279514312744,2.9482102394104004,2.8787288665771484,2.6335244178771973,2.7306034564971924,3.1062283515930176,2.834017038345337,2.740755081176758,3.100477695465088,2.7221217155456543,2.8280346393585205
Accuracy,0.2684,0.2917,0.292,0.3,0.3086,0.3103,0.3176,0.3239,0.3233,0.3286,0.3307,0.3313,0.333,0.3364,0.3361
F1 Score,0.239001984686155,0.27449020342680697,0.2731511727678544,0.281834596319098,0.2909665824355173,0.29335574394931274,0.3010776516824778,0.3083047070182099,0.30653537999258934,0.31241004040889353,0.3152014190951653,0.31479302682902593,0.31686565710846215,0.32050565981932777,0.3209079110463656
