,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Average Cosine Similarity (Pairwise Grad),0.031016810952375334,0.004182783141732216,-0.0184999400542842,-0.03407626160316997,-0.043844487849209045,-0.05095092074738609,-0.054945130066739185,-0.05700298539466328,-0.05746441108898984,-0.056758974264893264,-0.0568976026856237,-0.05778169872032272,-0.05968657988640997,-0.061672923755314614,-0.0645634579575724
Average Cosine Similarity (Global Grad),0.34764068722724917,0.30964037254452703,0.27389233410358427,0.24723291397094727,0.22962549328804016,0.2164696753025055,0.20895124301314355,0.20496614649891853,0.20428994223475455,0.20590708777308464,0.2052764005959034,0.20313857793807982,0.19882322624325752,0.19406060874462128,0.187202487885952
Variance Grad,0.2802641689777374,0.28190988302230835,0.28388845920562744,0.28612247109413147,0.28786855936050415,0.2896535098552704,0.2907542288303375,0.291587769985199,0.2919623553752899,0.29236936569213867,0.29232367873191833,0.2921612858772278,0.2917656898498535,0.2914801239967346,0.2911629378795624
Accuracy,0.1293,0.1949,0.221,0.2367,0.2512,0.2649,0.2784,0.2895,0.3002,0.3132,0.321,0.3287,0.3365,0.3458,0.3491
F1 Score,0.08503129578704677,0.1516564680220848,0.18188374570443328,0.20450248438071988,0.22387717653922806,0.24081106906904037,0.25646996724091536,0.2684813077263038,0.2802590263288053,0.2949007094317033,0.3028749760475702,0.31026220939371824,0.3178809956146115,0.3269174111236975,0.33104411176249937
