,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Average Cosine Similarity (Pairwise Grad),0.07107313329146968,0.01972289193007681,-0.00377821856074863,-0.01279205684032705,-0.0232952987568246,-0.03559753770629565,-0.04512144014653233,-0.0514217306756311,-0.055389449041750694,-0.05774428763737281,-0.059811722363034885,-0.061252517915434304,-0.0619196514495545,-0.06284739962882466,-0.06393476447297466
Average Cosine Similarity (Global Grad),0.4013519808650017,0.338073642551899,0.30548818558454516,0.29308554381132124,0.27739976942539213,0.25684680640697477,0.23945690393447877,0.2272213339805603,0.21916748881340026,0.2142745777964592,0.2100013941526413,0.20688147246837615,0.20536484345793724,0.20322878658771515,0.20065413787961006
Variance Grad,0.5983864665031433,0.5861042141914368,0.5788872241973877,0.5720537304878235,0.5652602910995483,0.5585141181945801,0.552397608757019,0.5469529628753662,0.5419549942016602,0.5370297431945801,0.5322257280349731,0.5276409983634949,0.5231273770332336,0.5179444551467896,0.5132831335067749
Accuracy,0.2,0.2482,0.2804,0.307,0.326,0.3376,0.3503,0.3604,0.372,0.381,0.39,0.4026,0.4135,0.4238,0.4326
F1 Score,0.16455272628727152,0.1969668592159671,0.23129278039948878,0.258582717716893,0.2774482888775752,0.2911488414039006,0.3066818444112063,0.31943523049995687,0.3335977952414524,0.34382662338901876,0.3555816916721676,0.3699517803369014,0.38216891768445715,0.39287564752338494,0.4022236004546505
