,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Average Cosine Similarity (Pairwise Grad),0.027287109196186064,-0.03508784953090879,-0.05506480269961887,-0.06416451620558898,-0.06955526399736603,-0.07314655415506827,-0.0757228091152178,-0.07720727937089072,-0.0787336471180121,-0.07967815246019098,-0.08025662770701779,-0.08094128548271126,-0.0816904099451171,-0.08210092236598333,-0.08263600249257352
Average Cosine Similarity (Global Grad),0.007897305255755781,-0.0014558164461050183,-0.0037959099165163932,-0.005343696591444314,-0.006467050546780229,-0.006902390345931053,-0.0071969629731029276,-0.0077331751119345425,-0.008939211489632726,-0.008305778494104743,-0.009052528580650688,-0.008495913166552783,-0.0088677569758147,-0.008446172717958689,-0.008925809385254979
Variance Grad,3.244509220123291,3.166644811630249,2.9285006523132324,2.840928554534912,2.601624011993408,2.802891492843628,2.565098524093628,2.4774489402770996,2.464968204498291,2.317244052886963,2.4618632793426514,2.147594690322876,2.440861225128174,2.6663658618927,2.4046878814697266
Accuracy,0.1438,0.1684,0.1889,0.2132,0.2275,0.2391,0.2382,0.2451,0.2476,0.2481,0.2521,0.2541,0.2559,0.2578,0.2601
F1 Score,0.07251047596945996,0.10137110193308856,0.13802626484601727,0.18123792380384832,0.20574215160452464,0.22256030494745765,0.2249181117285514,0.23211521835739454,0.23505853420160241,0.23490543442954287,0.23873189133972988,0.24047223455687186,0.24242044839501445,0.24427033010338728,0.24605903254120148
