Epoch,R_1 ,R_2 ,R_3 ,R_4 ,R_5 ,R_6 ,R_7 ,R_8 ,R_9 ,R_10 
0,0.11014817,0.11048233,0.10863526,0.113537215,0.10934516,0.11204849,0.0,0.11005221,0.11400172,0.111749515
1,0.108307846,0.0,0.107287556,0.1114114,0.107814655,0.1119934,0.12021898,0.10962194,0.112404495,0.110939674
2,0.0,0.11584583,0.10955429,0.11080469,0.11197522,0.10965379,0.114618,0.108240105,0.11058068,0.10872725
3,0.11485415,0.11183253,0.10845409,0.0,0.11070603,0.1104448,0.11428825,0.108714685,0.111581504,0.109123975
4,0.10951308,0.1091042,0.107112,0.11655457,0.108736925,0.0,0.11364005,0.1114966,0.11336335,0.11047922
5,0.10948918,0.107727334,0.10669865,0.11399675,0.108428,0.11850511,0.11289024,0.0,0.11197384,0.11029095
6,0.11088308,0.110417925,0.0,0.11462465,0.10943793,0.11075198,0.11387268,0.11045219,0.110609196,0.10895032
7,0.10905729,0.110627666,0.109133296,0.110987104,0.10952362,0.11187001,0.11615006,0.10942235,0.11322864,0.0
8,0.111215666,0.11487871,0.11140891,0.11126705,0.0,0.11064006,0.11286255,0.108932674,0.10899688,0.10979751
9,0.11087775,0.11148731,0.10846049,0.11237637,0.1111498,0.111699715,0.112599656,0.10988798,0.0,0.111460805
10,0.11035815,0.110656746,0.10930782,0.11250687,0.109682165,0.11008545,0.0,0.10891912,0.114567466,0.11391614
11,0.11136996,0.0,0.11108927,0.11135528,0.11289663,0.10995785,0.11517649,0.10796875,0.11076512,0.10942067
12,0.0,0.11736647,0.11031359,0.11113163,0.11379913,0.108639866,0.112233706,0.10771448,0.11009289,0.1087083
13,0.11570771,0.11240194,0.10889576,0.0,0.110800445,0.11036813,0.11260026,0.10887501,0.111261204,0.10908951
14,0.1095471,0.10933718,0.10754681,0.116945624,0.109258026,0.0,0.11225905,0.11242642,0.11239356,0.11028617
