,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Variance Grad,5.089325904846191,5.208642959594727,4.695425510406494,4.539556503295898,4.86004114151001,4.671494007110596,4.978147983551025,4.411393165588379,5.218779563903809,4.4704084396362305,5.083338737487793,4.336238861083984,4.508725166320801,4.351744651794434,4.655364036560059
Accuracy,0.3124,0.4347,0.3709,0.4047,0.3824,0.3508,0.4804,0.4115,0.6454,0.4871,0.5639,0.5933,0.5319,0.5387,0.4569
F1 Score,0.22986626690043965,0.33846281081297697,0.32836137457035663,0.3363675453421222,0.323775866682657,0.27229879014752195,0.42029879649882995,0.3618491256668763,0.6153614762236559,0.43622048994570034,0.5467060972180905,0.5248238040421661,0.5188804524595436,0.49771403881853615,0.4060503169207371
