,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Variance Grad,6.412136077880859,8.208292007446289,7.101763725280762,6.990297794342041,7.344263553619385,6.822620391845703,7.607619285583496,6.68759822845459,6.760909080505371,6.923738956451416,6.279487609863281,7.471487998962402,7.370708465576172,7.2669806480407715,7.405204772949219
Accuracy,0.2575,0.3401,0.4087,0.3871,0.4443,0.5254,0.662,0.5716,0.5849,0.4341,0.4399,0.5045,0.5073,0.4447,0.49
F1 Score,0.14845206147388965,0.25892309784233286,0.34024089930110296,0.3395407157010871,0.4027630667609401,0.48112285195385374,0.6450996076774242,0.544670893769097,0.5090890865528164,0.38958362239316485,0.3880702358162524,0.44687496887382894,0.4475303262535105,0.4039449489737157,0.44971362137091414
